Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Pixar,2024-06-23 20:42:54,00:01:05,Autoplayed: user action: None; ,New Amsterdam: Season 1_hook_primary_16x9,HOOK,Apple iPhone 15 Pro iPhone,00:01:05,00:01:05,PL (Poland)
Pixar,2024-06-23 20:38:12,00:00:15,Autoplayed: user action: None; ,The Equalizer 2_hook_primary_16x9,HOOK,Apple iPhone 15 Pro iPhone,00:00:16,00:00:16,PL (Poland)
Pixar,2024-06-23 20:09:14,00:01:18,Autoplayed: user action: None; ,The Equalizer - CLM 4,HOOK,Apple iPhone 15 Pro iPhone,00:00:06,00:00:06,PL (Poland)
Pixar,2024-06-13 18:07:10,01:56:14,,Bez litości 2,,Google Chromecast V5 Streaming Stick,01:56:14,01:56:14,PL (Poland)
Pixar,2024-06-13 18:05:31,00:00:46,Autoplayed: user action: None; ,The Equalizer 2_hook_primary_16x9,HOOK,Apple iPhone 15 Pro iPhone,00:00:46,Not latest view,PL (Poland)
Pixar,2024-06-13 18:05:02,00:00:28,Autoplayed: user action: None; ,The Equalizer - CLM 4,HOOK,Apple iPhone 15 Pro iPhone,00:00:28,Not latest view,PL (Poland)
Pixar,2024-06-13 18:01:45,00:00:45,Autoplayed: user action: None; ,Sezon 2 (Klip): Krawiec,HOOK,Apple iPhone 15 Pro iPhone,00:00:45,00:00:45,PL (Poland)
Pixar,2024-06-13 17:56:39,00:01:05,Autoplayed: user action: None; ,New Amsterdam: Season 1_hook_primary_16x9,HOOK,Apple iPhone 15 Pro iPhone,00:01:05,Not latest view,PL (Poland)
Pixar,2024-05-31 16:24:00,00:00:07,Autoplayed: user action: None; ,Sezon 2 (Klip): Krawiec,HOOK,Apple iPhone 15 Pro iPhone,00:00:07,Not latest view,PL (Poland)
Pixar,2024-05-31 16:22:24,00:00:47,Autoplayed: user action: None; ,Sezon 2 (Klip): Krawiec,HOOK,Apple iPhone 15 Pro iPhone,00:00:47,Not latest view,PL (Poland)
Pixar,2024-05-31 16:04:28,00:17:34,,Top Gun: Maverick,,Apple iPhone 15 Pro iPhone,02:02:53,02:02:53,PL (Poland)
Pixar,2024-05-31 13:38:09,01:26:10,,Top Gun: Maverick,,Apple iPhone 15 Pro iPhone,01:45:19,Not latest view,PL (Poland)
Pixar,2024-05-31 11:44:03,00:14:21,,Top Gun: Maverick,,Apple iPhone 15 Pro iPhone,00:16:29,Not latest view,PL (Poland)
Pixar,2024-05-31 11:43:42,00:00:08,Autoplayed: user action: None; ,Top Gun_hook_02_16x9,HOOK,Apple iPhone 15 Pro iPhone,00:00:08,00:00:08,PL (Poland)
Pixar,2023-12-24 23:19:42,00:00:16,Autoplayed: user action: None; ,Top Gun_hook_02_16x9,HOOK,iPhone 12 Pro,00:00:16,Not latest view,PL (Poland)
Pixar,2023-12-24 23:18:47,00:00:39,,Top Gun,,iPhone 12 Pro,01:22:59,01:22:59,PL (Poland)
Pixar,2023-12-24 23:18:15,00:00:30,Autoplayed: user action: None; ,Top Gun_hook_02_16x9,HOOK,iPhone 12 Pro,00:00:30,Not latest view,PL (Poland)
Pixar,2023-12-24 23:16:45,00:00:23,Autoplayed: user action: None; ,Season 1 (Klip): 1670,HOOK,iPhone 12 Pro,00:00:23,00:00:23,PL (Poland)
Pixar,2023-12-21 20:38:55,00:00:08,Autoplayed: user action: None; ,Zwiastun: Zabójca,TRAILER,iPhone 12 Pro,00:00:08,00:00:08,PL (Poland)
Pixar,2023-12-21 20:33:47,00:04:25,,Krawiec: Sezon 3: Odcinek 8 (Odcinek 8),,iPhone 12 Pro,00:22:06,00:22:06,PL (Poland)
Pixar,2023-12-21 20:32:43,00:00:22,Autoplayed: user action: None; ,Sezon 3 (Klip): Krawiec,HOOK,iPhone 12 Pro,00:00:22,00:00:22,PL (Poland)
Pixar,2023-12-21 20:32:15,00:00:27,Autoplayed: user action: None; ,Zwiastun: Zabójca,TRAILER,iPhone 12 Pro,00:00:27,Not latest view,PL (Poland)
Pixar,2023-12-21 20:31:59,00:00:09,Autoplayed: user action: None; ,Teaser: Życie na planecie Ziemia,TEASER_TRAILER,iPhone 12 Pro,00:00:10,00:00:10,PL (Poland)
